ts,phase47_main_current,phase47_bnb_full_back,phase47_bnb_gap_filter,phase47_bnb_trend_filter
2018-08-31,1.0,1.0,1.0,1.0
2018-09-01,1.0,1.0,1.0,1.0
2018-09-02,1.0,1.0,1.0,1.0
2018-09-03,1.0,1.0,1.0,1.0
2018-09-04,1.0,1.0,1.0,1.0
2018-09-05,1.0,1.0,1.0,1.0
2018-09-06,1.0,1.0,1.0,1.0
2018-09-07,1.0,1.0,1.0,1.0
2018-09-08,1.0,1.0,1.0,1.0
2018-09-09,1.0,1.0,1.0,1.0
2018-09-10,1.0,1.0,1.0,1.0
2018-09-11,1.0,1.0,1.0,1.0
2018-09-12,1.0,1.0,1.0,1.0
2018-09-13,1.0,1.0,1.0,1.0
2018-09-14,1.0,1.0,1.0,1.0
2018-09-15,1.0,1.0,1.0,1.0
2018-09-16,1.0,1.0,1.0,1.0
2018-09-17,1.0,1.0,1.0,1.0
2018-09-18,1.0,1.0,1.0,1.0
2018-09-19,1.0,1.0,1.0,1.0
2018-09-20,1.0,1.0,1.0,1.0
2018-09-21,1.0,1.0,1.0,1.0
2018-09-22,1.0,1.0,1.0,1.0
2018-09-23,1.0,1.0,1.0,1.0
2018-09-24,1.0,1.0,1.0,1.0
2018-09-25,1.0,1.0,1.0,1.0
2018-09-26,1.0,1.0,1.0,1.0
2018-09-27,1.0,1.0,1.0,1.0
2018-09-28,1.0,1.0,1.0,1.0
2018-09-29,1.0,1.0,1.0,1.0
2018-09-30,1.0,1.0,1.0,1.0
2018-10-01,1.0,1.0,1.0,1.0
2018-10-02,1.0,1.0,1.0,1.0
2018-10-03,1.0,1.0,1.0,1.0
2018-10-04,1.0,1.0,1.0,1.0
2018-10-05,1.0,1.0,1.0,1.0
2018-10-06,1.0,1.0,1.0,1.0
2018-10-07,1.0,1.0,1.0,1.0
2018-10-08,1.0,1.0,1.0,1.0
2018-10-09,1.0,1.0,1.0,1.0
2018-10-10,1.0,1.0,1.0,1.0
2018-10-11,1.0,1.0,1.0,1.0
2018-10-12,1.0,1.0,1.0,1.0
2018-10-13,1.0,1.0,1.0,1.0
2018-10-14,1.0,1.0,1.0,1.0
2018-10-15,1.0,1.0,1.0,1.0
2018-10-16,1.0,1.0,1.0,1.0
2018-10-17,1.0,1.0,1.0,1.0
2018-10-18,1.0,1.0,1.0,1.0
2018-10-19,1.0,1.0,1.0,1.0
2018-10-20,1.0,1.0,1.0,1.0
2018-10-21,1.0,1.0,1.0,1.0
2018-10-22,1.0,1.0,1.0,1.0
2018-10-23,1.0,1.0,1.0,1.0
2018-10-24,1.0,1.0,1.0,1.0
2018-10-25,1.0,1.0,1.0,1.0
2018-10-26,1.0,1.0,1.0,1.0
2018-10-27,1.0,1.0,1.0,1.0
2018-10-28,1.0,1.0,1.0,1.0
2018-10-29,1.0,1.0,1.0,1.0
2018-10-30,1.0,1.0,1.0,1.0
2018-10-31,1.0,1.0,1.0,1.0
2018-11-01,1.0,1.0,1.0,1.0
2018-11-02,1.0,1.0,1.0,1.0
2018-11-03,1.0,1.0,1.0,1.0
2018-11-04,1.0,1.0,1.0,1.0
2018-11-05,1.0,1.0,1.0,1.0
2018-11-06,1.0,1.0,1.0,1.0
2018-11-07,1.0,1.0,1.0,1.0
2018-11-08,1.0,1.0,1.0,1.0
2018-11-09,1.0,1.0,1.0,1.0
2018-11-10,1.0,1.0,1.0,1.0
2018-11-11,1.0,1.0,1.0,1.0
2018-11-12,1.0,1.0,1.0,1.0
2018-11-13,1.0,1.0,1.0,1.0
2018-11-14,1.0,1.0,1.0,1.0
2018-11-15,1.0,1.0,1.0,1.0
2018-11-16,1.0,1.0,1.0,1.0
2018-11-17,1.0,1.0,1.0,1.0
2018-11-18,1.0,1.0,1.0,1.0
2018-11-19,1.0,1.0,1.0,1.0
2018-11-20,1.0,1.0,1.0,1.0
2018-11-21,1.0,1.0,1.0,1.0
2018-11-22,1.0,1.0,1.0,1.0
2018-11-23,1.0,1.0,1.0,1.0
2018-11-24,1.0,1.0,1.0,1.0
2018-11-25,1.0,1.0,1.0,1.0
2018-11-26,1.0,1.0,1.0,1.0
2018-11-27,1.0,1.0,1.0,1.0
2018-11-28,1.0,1.0,1.0,1.0
2018-11-29,1.0,1.0,1.0,1.0
2018-11-30,1.0,1.0,1.0,1.0
2018-12-01,1.0,1.0,1.0,1.0
2018-12-02,1.0,1.0,1.0,1.0
2018-12-03,1.0,1.0,1.0,1.0
2018-12-04,1.0,1.0,1.0,1.0
2018-12-05,1.0,1.0,1.0,1.0
2018-12-06,1.0,1.0,1.0,1.0
2018-12-07,1.0,1.0,1.0,1.0
2018-12-08,1.0,1.0,1.0,1.0
2018-12-09,1.0,1.0,1.0,1.0
2018-12-10,1.0,1.0,1.0,1.0
2018-12-11,1.0,1.0,1.0,1.0
2018-12-12,1.0,1.0,1.0,1.0
2018-12-13,1.0,1.0,1.0,1.0
2018-12-14,1.0,1.0,1.0,1.0
2018-12-15,1.0,1.0,1.0,1.0
2018-12-16,1.0,1.0,1.0,1.0
2018-12-17,1.0,1.0,1.0,1.0
2018-12-18,1.0,1.0,1.0,1.0
2018-12-19,1.0,1.0,1.0,1.0
2018-12-20,1.0,1.0,1.0,1.0
2018-12-21,1.0,1.0,1.0,1.0
2018-12-22,1.0,1.0,1.0,1.0
2018-12-23,1.0,1.0,1.0,1.0
2018-12-24,1.0,1.0,1.0,1.0
2018-12-25,1.0,1.0,1.0,1.0
2018-12-26,1.0,1.0,1.0,1.0
2018-12-27,1.0,1.0,1.0,1.0
2018-12-28,1.0,1.0,1.0,1.0
2018-12-29,1.0,1.0,1.0,1.0
2018-12-30,1.0,1.0,1.0,1.0
2018-12-31,1.0,1.0,1.0,1.0
2019-01-01,1.0,1.0,1.0,1.0
2019-01-02,1.0,1.0,1.0,1.0
2019-01-03,1.0,1.0,1.0,1.0
2019-01-04,1.0,1.0,1.0,1.0
2019-01-05,1.0,1.0,1.0,1.0
2019-01-06,1.0,1.0,1.0,1.0
2019-01-07,1.0,1.0,1.0,1.0
2019-01-08,1.0,1.0,1.0,1.0
2019-01-09,1.0,1.0,1.0,1.0
2019-01-10,1.0,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0,1.0
2019-01-12,1.0,1.0,1.0,1.0
2019-01-13,1.0,1.0,1.0,1.0
2019-01-14,1.0,1.0,1.0,1.0
2019-01-15,1.0,1.0,1.0,1.0
2019-01-16,1.0,1.0,1.0,1.0
2019-01-17,1.0,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0,1.0
2019-01-19,1.0,1.0,1.0,1.0
2019-01-20,1.0,1.0,1.0,1.0
2019-01-21,1.0,1.0,1.0,1.0
2019-01-22,1.0,1.0,1.0,1.0
2019-01-23,1.0,1.0,1.0,1.0
2019-01-24,1.0,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0,1.0
2019-01-26,1.0,1.0,1.0,1.0
2019-01-27,1.0,1.0,1.0,1.0
2019-01-28,1.0,1.0,1.0,1.0
2019-01-29,1.0,1.0,1.0,1.0
2019-01-30,1.0,1.0,1.0,1.0
2019-01-31,1.0,1.0,1.0,1.0
2019-02-01,1.0,1.0,1.0,1.0
2019-02-02,1.0,1.0,1.0,1.0
2019-02-03,1.0,1.0,1.0,1.0
2019-02-04,1.0,1.0,1.0,1.0
2019-02-05,1.0,1.0,1.0,1.0
2019-02-06,1.0,1.0,1.0,1.0
2019-02-07,1.0,1.0,1.0,1.0
2019-02-08,1.0,1.0,1.0,1.0
2019-02-09,1.0,1.0,1.0,1.0
2019-02-10,1.0,1.0,1.0,1.0
2019-02-11,1.0,1.0,1.0,1.0
2019-02-12,1.0,1.0,1.0,1.0
2019-02-13,1.0,1.0,1.0,1.0
2019-02-14,1.0,1.0,1.0,1.0
2019-02-15,1.0,1.0,1.0,1.0
2019-02-16,1.0,1.0,1.0,1.0
2019-02-17,1.0,1.0,1.0,1.0
2019-02-18,1.0,1.0,1.0,1.0
2019-02-19,1.0,1.0,1.0,1.0
2019-02-20,1.0,1.0,1.0,1.0
2019-02-21,1.0,1.0,1.0,1.0
2019-02-22,1.0,1.0,1.0,1.0
2019-02-23,1.0,1.0,1.0,1.0
2019-02-24,1.0,1.0,1.0,1.0
2019-02-25,1.0,1.0,1.0,1.0
2019-02-26,1.0,1.0,1.0,1.0
2019-02-27,1.0,1.0,1.0,1.0
2019-02-28,1.0,1.0,1.0,1.0
2019-03-01,1.0,1.0,1.0,1.0
2019-03-02,1.0,1.0,1.0,1.0
2019-03-03,1.0,1.0,1.0,1.0
2019-03-04,1.0,1.0,1.0,1.0
2019-03-05,1.0,1.0,1.0,1.0
2019-03-06,1.0,1.0,1.0,1.0
2019-03-07,1.0,1.0,1.0,1.0
2019-03-08,1.0,1.0,1.0,1.0
2019-03-09,1.0,1.0,1.0,1.0
2019-03-10,1.0,1.0,1.0,1.0
2019-03-11,1.0,1.0,1.0,1.0
2019-03-12,1.0,1.0,1.0,1.0
2019-03-13,1.0,1.0,1.0,1.0
2019-03-14,1.0,1.0,1.0,1.0
2019-03-15,1.0,1.0,1.0,1.0
2019-03-16,1.0,1.0,1.0,1.0
2019-03-17,1.0,1.0,1.0,1.0
2019-03-18,1.0,1.0,1.0,1.0
2019-03-19,1.0,1.0,1.0,1.0
2019-03-20,1.0,1.0,1.0,1.0
2019-03-21,1.0,1.0,1.0,1.0
2019-03-22,1.0,1.0,1.0,1.0
2019-03-23,1.0,1.0,1.0,1.0
2019-03-24,1.0,1.0,1.0,1.0
2019-03-25,0.9942655826558267,0.9942655826558267,0.9942655826558267,0.9942655826558267
2019-03-26,1.0390827929643474,1.0390827929643474,1.0390827929643474,1.0390827929643474
2019-03-27,1.0231853674209475,1.0231853674209475,1.0231853674209475,1.0231853674209475
2019-03-28,1.0392519145126813,1.0083777114026324,1.0083777114026324,1.0392519145126813
2019-03-29,1.0223397596792771,1.0384479358970033,1.0384479358970033,1.0223397596792771
2019-03-30,1.0228471243242792,1.0733962326327777,1.0733962326327777,1.053678926835758
2019-03-31,1.0223397596792771,1.0948915773150965,1.0948915773150965,1.074779421721302
2019-04-01,1.2985152481087658,1.2066955241578967,1.2066955241578967,1.1845296324485894
2019-04-02,1.4407464702576942,1.3352493026305898,1.3352493026305898,1.310721995737915
2019-04-03,1.4385853505523076,1.3631402691367935,1.3631402691367935,1.3087559127443082
2019-04-04,1.4385853505523076,1.3610955587330884,1.3610955587330884,1.3087559127443082
2019-04-05,1.4385853505523076,1.3385872642177488,1.3385872642177488,1.3087559127443082
2019-04-06,1.4385853505523076,1.3300116599456888,1.3300116599456888,1.3087559127443082
2019-04-07,1.4385853505523076,1.2616173561523196,1.2616173561523196,1.3087559127443082
2019-04-08,1.4032640233082858,1.2841230541068995,1.2841230541068995,1.2766222643244614
2019-04-09,1.423517318490055,1.2988044197461217,1.2988044197461217,1.295047740304402
2019-04-10,1.3186341827273222,1.246167237555073,1.246167237555073,1.199630096836852
2019-04-11,1.3166562314532313,1.2442979866987405,1.2442979866987405,1.1978306516915969
2019-04-12,1.3166562314532313,1.2442979866987405,1.2442979866987405,1.1978306516915969
2019-04-13,1.3166562314532313,1.2442979866987405,1.2442979866987405,1.1978306516915969
2019-04-14,1.3166562314532313,1.2442979866987405,1.2442979866987405,1.1978306516915969
2019-04-15,1.3166562314532313,1.2442979866987405,1.2442979866987405,1.1978306516915969
2019-04-16,1.3220868848938112,1.2494301927986682,1.2494301927986682,1.2027711995692014
2019-04-17,1.3362204648634803,1.262787046836183,1.262787046836183,1.2156292523405907
2019-04-18,1.3362814511848167,1.2628446815893115,1.2628446815893115,1.2156847347689463
2019-04-19,1.3446797758521585,1.270781467384706,1.270781467384706,1.2233251275070693
2019-04-20,1.3356360126173417,1.262234713785369,1.262234713785369,1.2150975457355173
