profile,decision_date,asset,history_days,max_gap_days,non_na_close_ratio,admission_train_delta_pct,admission_recent_delta_pct,admission_dd_worsen_pct,admission_trigger_days,admission_quality_score,admission_eligible,admission_failing,state,state_prev,fail_streaks,pass_streaks,suspended_now
phase68b_dynamic_repair_tight5,2026-03-14,KITE,146,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,LDO,1420,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,97,0,True
phase68b_dynamic_repair_tight5,2026-03-14,LINK,2629,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,5,0,True
phase68b_dynamic_repair_tight5,2026-03-14,LTC,2644,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,4,0,True
phase68b_dynamic_repair_tight5,2026-03-14,MORPHO,177,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,NEO,2644,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,2,0,True
phase68b_dynamic_repair_tight5,2026-03-14,NEXO,1430,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,69,0,True
phase68b_dynamic_repair_tight5,2026-03-14,NIGHT,18,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,ONDO,352,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,7,0,True
phase68b_dynamic_repair_tight5,2026-03-14,PENDLE,1000,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,48,0,True
phase68b_dynamic_repair_tight5,2026-03-14,PENGU,467,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,PEPE,1059,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,PUMP,199,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,PYTH,786,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,QNT,1704,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,17,0,True
phase68b_dynamic_repair_tight5,2026-03-14,RENDER,611,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,RLUSD,66,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,S,437,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,SAND,2053,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,80,0,True
phase68b_dynamic_repair_tight5,2026-03-14,SEI,957,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,SHIB,1784,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,70,0,True
