asset,train_total_delta_pct,recent_total_delta_pct,train_dd_worsen_pct,downside_dd_worsen_pct,train_triggers,score,passed_filters,profile,decision_date,next_date_exclusive,reentry_blocked,persistence_passes,persistence_ok,core_asset_today,core_is_bnb,required_recent_delta_pct,promotion_ok,incumbent_asset_before,selected_asset,keep_reason,approved_shortlist_size,approved_shortlist
BNB,5.353860026855912,5.265974398520207,-4.212879599223452,-4.2128795992234735,24,-1e+18,False,phase68b_dynamic_repair_base,2019-05-11,2019-05-18,False,1,False,0.0601288053556083,False,2.0,True,,,best_passed,1,BNB
BNB,5.643492818947429,4.558483564866229,-2.719843582024506,-2.719843582024529,24,30.29917348788606,True,phase68b_dynamic_repair_base,2019-05-18,2019-05-25,False,2,True,0.0,False,2.0,True,,BNB,best_passed,1,BNB
BNB,5.643492818947429,-4.019022306540165,-2.719843582024506,-2.7198435820245397,24,-1e+18,False,phase68b_dynamic_repair_base,2019-05-25,2019-06-01,False,0,False,0.0,False,2.0,False,BNB,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-07-20,2019-07-27,False,0,False,CASH,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-07-27,2019-08-03,False,0,False,CASH,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-08-03,2019-08-10,False,0,False,CASH,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-08-10,2019-08-17,False,0,False,CASH,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-08-17,2019-08-24,False,0,False,0.0,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-08-24,2019-08-31,False,0,False,0.0,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-08-31,2019-09-07,False,0,False,0.0,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-09-07,2019-09-14,False,0,False,0.0,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-09-14,2019-09-21,False,0,False,0.0,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-09-21,2019-09-28,False,0,False,0.0,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-09-28,2019-10-05,False,0,False,CASH,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-10-05,2019-10-12,False,0,False,CASH,False,2.0,False,,,best_passed,1,BNB
BNB,7.472622911065713,0.0,0.0,0.0,24,-1e+18,False,phase68b_dynamic_repair_base,2019-10-12,2019-10-19,False,0,False,CASH,False,2.0,False,,,best_passed,1,BNB
LINK,0.7972342415273488,0.3699360451250966,0.0,-11.214215202369193,12,-1e+18,False,phase68b_dynamic_repair_base,2019-11-23,2019-11-30,False,0,False,CASH,False,2.0,False,,,best_passed,1,LINK
LINK,0.7972342415273488,0.3699360451250966,0.0,-11.214215202369193,12,-1e+18,False,phase68b_dynamic_repair_base,2019-11-30,2019-12-07,False,0,False,CASH,False,2.0,False,,,best_passed,1,LINK
LINK,0.7972342415273488,0.3699360451250966,0.0,-11.214215202369193,12,-1e+18,False,phase68b_dynamic_repair_base,2019-12-07,2019-12-14,False,0,False,CASH,False,2.0,False,,,best_passed,1,LINK
LINK,0.7972342415273488,0.3699360451250966,0.0,-11.214215202369193,12,-1e+18,False,phase68b_dynamic_repair_base,2019-12-14,2019-12-21,False,0,False,CASH,False,2.0,False,,,best_passed,1,LINK
LINK,0.7972342415273488,-4.15601023017903,0.0,-11.214215202369203,12,-1e+18,False,phase68b_dynamic_repair_base,2019-12-21,2019-12-28,False,0,False,CASH,False,2.0,False,,,best_passed,1,LINK
LINK,0.7972342415273488,0.0,0.0,0.0,12,-1e+18,False,phase68b_dynamic_repair_base,2020-01-11,2020-01-18,False,0,False,CASH,False,2.0,False,,,best_passed,1,LINK
LINK,0.7972342415273488,0.0,0.0,0.0,12,-1e+18,False,phase68b_dynamic_repair_base,2020-01-18,2020-01-25,False,0,False,0.0,False,2.0,False,,,best_passed,1,LINK
ETC,122.97992344064413,70.97151303682651,3.585579267079707,1.0658141036401503e-14,13,-1e+18,False,phase68b_dynamic_repair_base,2020-01-25,2020-02-01,False,1,False,BTC,False,2.0,True,,,best_passed,2,"ETC,LINK"
LINK,0.40801328897690325,-0.1646465628964533,0.16357875813557143,-0.16399955086647822,14,-1e+18,False,phase68b_dynamic_repair_base,2020-01-25,2020-02-01,False,0,False,BTC,False,2.0,False,,,best_passed,2,"ETC,LINK"
