profile,decision_date,asset,history_days,max_gap_days,non_na_close_ratio,admission_train_delta_pct,admission_recent_delta_pct,admission_dd_worsen_pct,admission_trigger_days,admission_quality_score,admission_eligible,admission_failing,state,state_prev,fail_streaks,pass_streaks,suspended_now
phase68b_dynamic_repair_base,2019-05-04,2Z,178,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,AAVE,1991,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,ADA,2644,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,ALGO,2472,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,APT,1257,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,ARB,1102,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,ASTER,174,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,ATOM,2526,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,AVAX,2014,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,AXS,1971,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,BCH,2313,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,BFUSD,228,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,BNB,2644,1,100.0,23.702238230622605,23.702238230622605,-3.297386343070219,20,104.68451248014607,True,False,WATCHLIST,WATCHLIST,0,1,False
phase68b_dynamic_repair_base,2019-05-04,BONK,835,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,CAKE,1864,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
phase68b_dynamic_repair_base,2019-05-04,CFX,1826,1,100.0,0.0,0.0,0.0,0,1.95,False,True,WATCHLIST,WATCHLIST,1,0,False
