profile,asset,file,source,history_days,start_date,end_date,daily_rows,max_gap_days,non_na_close_ratio
phase68b_dynamic_repair_base,ETH,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ETHUSDT_1d.csv,phase67_top100_downloads,2644,2019-01-01,2026-03-28,2644,1,100.0
phase68b_dynamic_repair_base,ETHFI,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ETHFIUSDT_1d.csv,phase67_top100_downloads,741,2024-03-18,2026-03-28,741,1,100.0
phase68b_dynamic_repair_base,FET,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\FETUSDT_1d.csv,phase67_top100_downloads,2586,2019-02-28,2026-03-28,2586,1,100.0
phase68b_dynamic_repair_base,FF,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\FFUSDT_1d.csv,phase67_top100_downloads,181,2025-09-29,2026-03-28,181,1,100.0
phase68b_dynamic_repair_base,FIL,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\FILUSDT_1d.csv,phase67_top100_downloads,1991,2020-10-15,2026-03-28,1991,1,100.0
phase68b_dynamic_repair_base,FLOKI,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\FLOKIUSDT_1d.csv,phase67_top100_downloads,1059,2023-05-05,2026-03-28,1059,1,100.0
phase68b_dynamic_repair_base,GNO,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\GNOUSDT_1d.csv,phase67_top100_downloads,1672,2021-08-30,2026-03-28,1672,1,100.0
phase68b_dynamic_repair_base,GRT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\GRTUSDT_1d.csv,phase67_top100_downloads,1928,2020-12-17,2026-03-28,1928,1,100.0
phase68b_dynamic_repair_base,HBAR,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\HBARUSDT_1d.csv,phase67_top100_downloads,2373,2019-09-29,2026-03-28,2373,1,100.0
phase68b_dynamic_repair_base,ICP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ICPUSDT_1d.csv,phase67_top100_downloads,1783,2021-05-11,2026-03-28,1783,1,100.0
phase68b_dynamic_repair_base,INJ,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\INJUSDT_1d.csv,phase67_top100_downloads,1985,2020-10-21,2026-03-28,1985,1,100.0
phase68b_dynamic_repair_base,IOTA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\IOTAUSDT_1d.csv,phase67_top100_downloads,2644,2019-01-01,2026-03-28,2644,1,100.0
phase68b_dynamic_repair_base,JASMY,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\JASMYUSDT_1d.csv,phase67_top100_downloads,1588,2021-11-22,2026-03-28,1588,1,100.0
phase68b_dynamic_repair_base,JST,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\JSTUSDT_1d.csv,phase67_top100_downloads,2056,2020-08-11,2026-03-28,2056,1,100.0
phase68b_dynamic_repair_base,JUP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\JUPUSDT_1d.csv,phase67_top100_downloads,788,2024-01-31,2026-03-28,788,1,100.0
phase68b_dynamic_repair_base,KAIA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\KAIAUSDT_1d.csv,phase67_top100_downloads,514,2024-10-31,2026-03-28,514,1,100.0
phase68b_dynamic_repair_base,KITE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\KITEUSDT_1d.csv,phase67_top100_downloads,146,2025-11-03,2026-03-28,146,1,100.0
phase68b_dynamic_repair_base,LDO,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\LDOUSDT_1d.csv,phase67_top100_downloads,1420,2022-05-09,2026-03-28,1420,1,100.0
phase68b_dynamic_repair_base,LINK,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\LINKUSDT_1d.csv,phase67_top100_downloads,2629,2019-01-16,2026-03-28,2629,1,100.0
phase68b_dynamic_repair_base,LTC,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\LTCUSDT_1d.csv,phase67_top100_downloads,2644,2019-01-01,2026-03-28,2644,1,100.0
phase68b_dynamic_repair_base,LUNC,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\LUNCUSDT_1d.csv,phase67_top100_downloads,1297,2022-09-09,2026-03-28,1297,1,100.0
phase68b_dynamic_repair_base,MANA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\MANAUSDT_1d.csv,phase67_top100_downloads,2061,2020-08-06,2026-03-28,2061,1,100.0
