model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,delta_vs_phase66g_core_cagr_pct,delta_vs_phase66g_core_max_drawdown_pct,delta_vs_phase66g_core_since2021_cagr_pct,delta_vs_phase66g_core_since2023_cagr_pct,delta_vs_phase66g_core_since2025_cagr_pct,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,universe_size_loaded,selection_count,switch_count,unique_selected_assets,excluded_assets_count,approved_shortlist_avg_size,approved_shortlist_last_size,approved_shortlist_last,approved_assets_now,watchlist_assets_now,probation_assets_now,suspended_assets_now,approved_assets_now_list
phase68b_dynamic_repair_tight5,2874,29392.624931376624,106.00139265973772,-33.186472134294554,1.5291350288084904,2.0366800959382623,41.8580375782881,8.107167710508003,48.01670146137787,2.0180932498260264,828,1455.5986811972268,69.43615783432837,-33.186472134294554,1204.9914568873346,122.82936237469082,-28.20643689542448,149.9093451554409,113.89699075216568,-20.80923724935961,-7.721116613789732,-9.586439138737635,-9.771397938958344,-13.635287813737364,0.0,4.410370088249763,0.2716828956598647,1.216512236664144,-2.8491668806135664,0.0,97,121,66,27,3,3.5766016713091924,2,"ZEC,ZRO",2,0,0,95,"ZEC,ZRO"
phase68b_dynamic_repair_base,2874,28280.634768021282,104.99765580999933,-33.186472134294554,1.530178832327157,2.027120048422254,41.8580375782881,8.281141266527488,48.01670146137787,1.8441196938065414,826,1455.5986811972268,69.43615783432837,-33.186472134294554,1204.9914568873346,122.82936237469082,-28.20643689542448,149.9093451554409,113.89699075216568,-20.80923724935961,-8.72485346352812,-9.586439138737635,-9.771397938958344,-13.635287813737364,0.0,3.4066332385113753,0.2716828956598647,1.216512236664144,-2.8491668806135664,0.0,97,120,64,27,3,3.9944289693593316,3,"ADA,ZEC,ZRO",3,0,0,94,"ADA,ZEC,ZRO"
phase68b_dynamic_repair_fast6,2874,35283.721460056826,110.82471959444126,-38.97700357527306,1.5569363522259885,2.104268645650334,41.8580375782881,7.898399443284621,47.84272790535839,2.4008350730688934,834,1766.3266008769326,75.46969613837156,-38.97700357527303,1638.8184090089717,143.69761966276891,-28.20643689542448,149.9093451554409,113.89699075216568,-20.80923724935961,-2.8977896790861877,-15.37697057971614,-3.7378596349151536,7.2329694743407345,0.0,9.233697022953308,-5.51884854531864,7.250050540707335,18.01909040746453,0.0,97,123,71,27,3,3.5682451253481893,1,ZRO,1,0,0,96,ZRO
