date,strategy_id,strategy_version,candidate_asset,selected_asset,model_candidate_exposure,trend_permission_active,actual_held_asset,authorized_tradable_asset,held_asset,current_asset,effective_market_exposure,current_exposure,exposure,regime,market_state,execution_state,execution_target_asset,execution_target_exposure,trend_state,trend_score,buy_threshold,model_candidate_return_gross,model_candidate_return_net,model_candidate_equity,authorized_return_gross,authorized_return_net,authorized_equity,btc_close,btc_return,btc_baseline_equity,btc_baseline_index,return_gross,return_net,equity,drawdown_pct,fees_daily,fees_cumulative,funding_daily,funding_cumulative,borrow_cost_daily,borrow_cost_cumulative,slippage_cost_daily,slippage_cost_cumulative,turnover,cash_day,btc_day,in_market,is_rebalance_day,asset_transition_day,trend_block_day,stress_block_day,trend_gate_pass,leverage_active,leverage_state_reason,trend_activation_threshold,reason_code,rolling_return_7d,rolling_return_30d,rolling_return_90d,rolling_vol_30d,rolling_sharpe_90d,source_validated,portfolio_held_asset,held_asset_public,baseline_held_asset,baseline_asset_source,overlay_candidate_raw,overlay_candidate_clean,use_baseline_exposure,is_exposed,trend_state_label,prev_trend_score,crossed_up_today,crossed_down_today,days_in_position,switch_day_forced_1x,entry_buffer_day_forced_1x,baseline_equity_curve,baseline_dd_lookback,stress_block_active,tradable_transition_day,tradable_governed_asset,leverage_eligible,target_leverage,effective_leverage,daily_borrow_cost,tradable_slippage_cost,realistic_ret_gross,realistic_ret,equity_curve,trading_fees_daily,fee_side_mode,taker_fee_bps,maker_fee_bps,staking_discount_pct,referral_discount_pct,effective_trading_fee_bps,annual_borrow_cost_pct,tradable_transition_slippage_bps
2024-01-12,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,negativny,-0.643172,0.0,0.0,0.0,1.0,0.0,0.0,1.0,42782.73,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,negativny,-0.643172,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-13,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,negativny,-0.546829,0.0,0.0,0.0,1.0,0.0,0.0,1.0,42847.99,0.001525381854,1.001525381854,100.1525381854,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,negativny,-0.643172,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-17,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,pod_buy_hranicou,-0.134927,0.0,0.0,0.0,1.0,0.0,0.0,1.0,42776.1,-0.001677791654,0.999845030927,99.9845030927,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,pod_buy_hranicou,-0.546829,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-18,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,pod_buy_hranicou,-0.078849,0.0,0.0,0.0,1.0,0.0,0.0,1.0,41327.5,-0.033864704823,0.965985574086,96.5985574086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,pod_buy_hranicou,-0.134927,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-19,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,pod_buy_hranicou,-0.327643,0.0,0.0,0.0,1.0,0.0,0.0,1.0,41659.03,0.008022019237,0.973734728944,97.3734728944,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,pod_buy_hranicou,-0.078849,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-20,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,pod_buy_hranicou,-0.298942,0.0,0.0,0.0,1.0,0.0,0.0,1.0,41696.04,0.000888402826,0.974599797629,97.4599797629,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,pod_buy_hranicou,-0.327643,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-23,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,negativny,-0.771175,0.0,0.0,0.0,1.0,0.0,0.0,1.0,39897.6,-0.043132153557,0.932563209501,93.2563209501,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,0.0,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,negativny,-0.298942,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-24,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,negativny,-0.76108,0.0,0.0,0.0,1.0,0.0,0.0,1.0,40084.88,0.004694016683,0.936940676764,93.6940676764,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,0.0,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,negativny,-0.771175,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-25,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,pod_buy_hranicou,-0.283647,0.0,0.0,0.0,1.0,0.0,0.0,1.0,39961.09,-0.003088196846,0.934047219521,93.4047219521,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,0.0,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,pod_buy_hranicou,-0.76108,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-26,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,negativny,-0.608676,0.0,0.0,0.0,1.0,0.0,0.0,1.0,41823.51,0.046605835827,0.977579270889,97.7579270889,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,0.0,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,negativny,-0.283647,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
2024-01-27,current_strategy,phase68g_etf_flow_impulse_early_risk_cooldown_15,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,negativny,-0.567486,0.0,0.0,0.0,1.0,0.0,0.0,1.0,42120.63,0.007104138318,0.984524129246,98.4524129246,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,cash,0.1,candidate_asset_not_btc,0.0,,,,,True,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,negativny,-0.608676,False,False,0,False,False,1.0,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,20.0
