model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,mode,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,unique_selected_assets,selected_days_pct,decision_count,selection_count,switch_count,asset_suspensions_total
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,baseline,,,,,,,,,,,
phase66e_probation_strict,2874,34476.31420471648,110.2071583453788,-23.60003299555692,1.5849044212942542,2.113569649945371,41.8580375782881,8.350730688935283,48.95615866388309,0.8350730688935281,841,1982.7255932256915,79.20755577328669,-23.600032995556873,1478.713121197864,136.46465018842804,-23.600032995556898,149.9093451554409,113.89699075216568,-20.80923724935961,phase66e_probation_strict,8.616135773890846,9.8581220343975,10.98791017562246,10.786120933123655,0.0,4.0,8.977035490605429,359.0,43.0,15.0,444.0
phase66e_probation_base,2874,28040.961932989943,104.77682720753614,-34.96323479532242,1.5343558846831657,2.0087382245858496,41.8580375782881,8.037578288100208,48.53862212943633,1.5657620041753653,841,1544.173191934362,71.24857175467783,-34.96323479532237,1391.541316933862,132.31218007907316,-29.460657966439342,149.9093451554409,113.89699075216568,-20.80923724935961,phase66e_probation_base,3.1858046360481893,-1.5050797653680021,3.0289261570136006,6.633650823768775,0.0,5.0,37.160751565762006,359.0,178.0,22.0,428.0
