date,strategy_return,equity,executed_regime,executed_position,chosen_asset,weekly_authorized_asset,trend_score,prev_trend_score,buy_threshold,selected_asset,baseline_strategy_return,baseline_executed_regime,baseline_executed_position,leader_stable,trend_improving,candidate_asset_return,candidate_risk_off,candidate_signal_raw,candidate_execute_raw,full_risk_active,near_full_threshold,risk_off_blocked,early_setup_ready,ladder_state,early_entry_weight,incremental_vs_baseline
2018-05-04,0.0,1.0,CASH,CASH,,,,,,,0.0,CASH,CASH,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-05,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-06,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-07,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-08,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-09,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-10,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-11,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-12,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-13,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-14,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-15,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-16,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
2018-05-17,0.0,1.0,BASE,0.0,,,,,0.0,,0.0,BASE,0.0,False,False,0.0,True,False,False,False,False,True,False,CASH,0.0,0.0
