model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,mode,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,delta_vs_phase66f_soft_filters_cagr_pct,delta_vs_phase66f_soft_filters_max_drawdown_pct,delta_vs_phase66f_soft_filters_since2021_cagr_pct,delta_vs_phase66f_soft_filters_since2023_cagr_pct,delta_vs_phase66f_soft_filters_since2025_cagr_pct,unique_selected_assets,selected_days_pct,decision_count,selection_count,switch_count,asset_suspensions_total,delta_vs_phase66g_core_cagr_pct,delta_vs_phase66g_core_max_drawdown_pct,delta_vs_phase66g_core_since2021_cagr_pct,delta_vs_phase66g_core_since2023_cagr_pct,delta_vs_phase66g_core_since2025_cagr_pct,candidate_vol_lb,candidate_vol_cap,candidate_fast_ma,candidate_slow_ma,candidate_ret_lb,candidate_risk_ma,candidate_risk_buffer,candidate_ret_min,weak_base_lb,weak_base_threshold,cooldown_days,candidate_assets_loaded,failed_assets_count,switch_count_change_pct,passes_success_rule
phase66g_production_soft_filters,2874,39296.1912742702,113.7225092735274,-23.60003299555694,1.6083883573961415,2.1563792516361047,41.8580375782881,8.350730688935283,48.8517745302714,0.9394572025052192,839,1982.7255932256917,79.20755577328669,-23.600032995556877,1478.713121197864,136.46465018842804,-23.600032995556894,149.9093451554409,113.89699075216568,-20.80923724935961,baseline_66g,12.131486702039451,9.858122034397478,10.98791017562246,10.786120933123655,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,4.0,9.394572025052192,359.0,45.0,14.0,444.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,False
phase66k_core_volgate_A,2874,27876.81017162297,104.62463262544102,-33.45815502995442,1.5511715188167445,2.048304285953558,41.8580375782881,8.455114822546973,49.478079331941544,0.20876826722338201,839,1585.2004009527327,72.06144944499025,-33.45815502995444,1428.7598883529658,134.10500202191255,-21.66377403676246,149.9093451554409,113.89699075216568,-20.80923724935961,phase66k_core_volgate_A,,,,,,,,,,,2.0,1.6701461377870561,359.0,8.0,4.0,114.0,-9.09787664808637,-9.858122034397478,-7.14610632829644,-2.359648166515484,0.0,25.0,0.024999999999999998,20.0,100.0,30.0,150.0,-0.03,0.12,30.0,0.02,3.0,9.0,0.0,-71.42857142857143,False
phase66k_core_volgate_B,2874,27226.217453513942,104.0136589153601,-33.45815502995442,1.5455101884130904,2.0442553376489734,41.8580375782881,8.455114822546973,49.33890048712596,0.3479471120389701,839,1546.0115476600051,71.28534407199032,-33.45815502995444,1393.2090144328051,132.39316801102854,-21.66377403676245,149.9093451554409,113.89699075216568,-20.80923724935961,phase66k_core_volgate_B,,,,,,,,,,,2.0,1.6701461377870561,359.0,8.0,4.0,108.0,-9.708850358167297,-9.858122034397478,-7.922211701296362,-4.071482177399503,0.0,30.0,0.024999999999999998,20.0,100.0,30.0,150.0,-0.03,0.12,30.0,0.02,3.0,9.0,0.0,-71.42857142857143,False
phase66k_core_volgate_C,2874,25770.708770618887,102.59942993231151,-33.45815502995442,1.531471501878017,2.0185137293625046,41.8580375782881,8.455114822546973,49.234516353514266,0.4523312456506611,841,1458.3380852117057,69.49344588146754,-33.45815502995444,1313.6744542771091,128.4592857779816,-22.897605486824713,149.9093451554409,113.89699075216568,-20.80923724935961,phase66k_core_volgate_C,,,,,,,,,,,2.0,2.7139874739039667,359.0,13.0,4.0,108.0,-11.123079341215885,-9.858122034397478,-9.714109891819149,-8.005364410446447,0.0,35.0,0.024999999999999998,20.0,100.0,30.0,150.0,-0.03,0.12,30.0,0.02,3.0,9.0,0.0,-71.42857142857143,False
phase66k_core_volgate_D,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,phase66k_core_volgate_D,,,,,,,,,,,0.0,0.0,359.0,0.0,0.0,0.0,-12.131486702039439,-9.858122034397478,-10.98791017562246,-10.786120933123655,0.0,25.0,0.0049999999999999975,20.0,100.0,30.0,150.0,-0.03,0.12,30.0,0.02,3.0,9.0,0.0,-100.0,False
phase66k_core_volgate_E,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,phase66k_core_volgate_E,,,,,,,,,,,0.0,0.0,359.0,0.0,0.0,0.0,-12.131486702039439,-9.858122034397478,-10.98791017562246,-10.786120933123655,0.0,30.0,0.0049999999999999975,20.0,100.0,30.0,150.0,-0.03,0.12,30.0,0.02,3.0,9.0,0.0,-100.0,False
phase66k_core_volgate_F,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,phase66k_core_volgate_F,,,,,,,,,,,0.0,0.0,359.0,0.0,0.0,0.0,-12.131486702039439,-9.858122034397478,-10.98791017562246,-10.786120933123655,0.0,35.0,0.0049999999999999975,20.0,100.0,30.0,150.0,-0.03,0.12,30.0,0.02,3.0,9.0,0.0,-100.0,False
