strategy,cagr,mdd,sharpe,calmar,turnover,costs,fee,slippage,funding,trades,median_holding,profitable_folds,fold_count,worst_fold,without_best_day,without_three_trades,liquidations,total_log_growth,double_cost_cagr,double_cost_mdd,delay_cagr
phase61_core_rotation,0.285426670827,0.508647196984,0.670108598358,0.561148616408,46.3729198909,0.104951523107,0.0208678139509,0.0463729911538,0.0377107180021,122,3,3,6,-0.0658283310083,0.131035310003,0.0661912433818,0,1.32127674404,0.157248347065,0.508729348193,0.337437805327
phase62_btc_overlay_default,0.242955069327,0.381648874605,0.758107340655,0.636593176328,39.1652709629,0.102991590487,0.0176243719333,0.0391653455051,0.0462018730489,103,3,4,6,0,0.201943121935,0.0618565592058,0,1.14447359333,0.121182481829,0.433780332694,0.336559978426
phase63_btc_participation,0.25316757429,0.508647196984,0.623322427711,0.497727257304,47.1379584161,0.1114926768,0.0212120812872,0.0471380356788,0.0431425598335,124,3,3,6,-0.085762238618,0.102650822517,0.0394340840449,0,1.18753239491,0.120819688503,0.508729348193,0.320209873114
phase66g_production_soft_filters,0.202814783196,0.508647196984,0.551238475798,0.398733708549,48.6576601028,0.114195725568,0.0218959470463,0.0486577389794,0.0436420395421,128,3,3,6,-0.207293327754,0.058345856721,-0.00233080707056,0,0.971731957087,0.0728633269003,0.562128473595,0.277145107457
phase67j_no_neo_main,0.192677711506,0.508647196984,0.536722834544,0.378804233363,49.4172588933,0.115297144369,0.022237766502,0.0494173383244,0.0436420395421,130,3,3,6,-0.0709710375234,0.0494263389591,-0.0107389545871,0,0.927195727188,0.0626449275467,0.583633270173,0.214966051179
phase68g_66g_1p25x_candidate,0.0955393720548,0.529098410284,0.4468069307,0.180570136288,32.9793769986,0.0665662321245,0.0148407196494,0.0329794146603,0.0187460978148,73,2,2,6,-0.2659892418,0.0518088711784,-0.0341828147171,0,0.480154377888,0.0249517751718,0.578778145661,0.209626960214
phase68g_66g_1p50x_candidate,0.0931163296926,0.612420077503,0.425123699853,0.152046500618,38.3170934785,0.0774432879699,0.0172426920653,0.0383171411699,0.0218834547347,73,2,2,6,-0.31204528111,0.0419744550751,-0.0571833363865,0,0.468503010651,0.0115965443264,0.650739776675,0.206488558057
phase68g_btc_persistence_10d_early_risk_075,0.0978754064181,0.53360139608,0.452207508002,0.183424194796,33.5692915302,0.0689668756032,0.0151061811886,0.0335693312512,0.0202913631634,75,2,2,6,-0.277502295207,0.0540516583656,-0.0321233888388,0,0.491362988457,0.024674449292,0.584261967826,0.182621312344
phase68g_etf_flow_impulse_early_risk_cooldown_15,0.0820476231207,0.53360139608,0.405495937903,0.153762009851,36.459865127,0.0753434287176,0.0164069393072,0.0364599025218,0.0224765868887,90,2,3,6,-0.277502295207,0.0388556706103,-0.0460770134218,0,0.414947794041,0.00347898739371,0.584261967826,0.15183308755
phase68h_dynamic_leverage_ladder,0.082282641911,0.617832965089,0.400670667431,0.133179429652,36.5467933094,0.0742520190642,0.0164460569892,0.0365468569761,0.0212591050989,73,2,1,6,-0.288310208704,0.0390813081864,-0.0597529505725,0,0.416090599247,0.0047712532832,0.644762452442,0.206805533601
phase68j_phase68g_66g_1p25x_candidate_g1_adverse_cd2,0.089721168903,0.531435012362,0.43092284724,0.168828110335,32.8913397005,0.0662824973092,0.0148011028652,0.0328913840381,0.0185900104058,73,2,2,6,-0.264706417191,0.0462229124759,-0.0393120877809,0,0.452133622554,0.0197961550543,0.584824209856,0.193392630464
phase68j_phase68g_66g_1p25x_candidate_g2_dd5_cd3,0.102604511419,0.531846941128,0.468410705331,0.192921127272,32.7805497443,0.0661218369352,0.0147512473849,0.0327805791445,0.0185900104058,73,2,2,6,-0.252541602865,0.0585919923045,-0.0279542544407,0,0.513981049424,0.0320280327862,0.568142488085,0.210805980364
phase68j_phase68g_66g_1p50x_candidate_g1_adverse_cd2,0.072284533055,0.642315774095,0.373092712801,0.112537377985,38.4862647707,0.0771266995174,0.0173188191468,0.0384863403081,0.0213215400624,73,2,1,6,-0.309592459156,0.0221172821832,-0.0751508339614,0,0.367253023978,-0.00737961504823,0.668666315918,0.169563827856
phase68j_phase68g_66g_1p50x_candidate_g2_dd5_cd3,0.117555586621,0.610159051912,0.488216049832,0.192663841096,37.7123651566,0.0760044829509,0.0169705643205,0.037712378568,0.0213215400624,73,2,2,6,-0.283813799916,0.0652703118186,-0.0361043916735,0,0.584855197651,0.0357306402928,0.637980398754,0.216880018687
phase68j_phase68h_dynamic_leverage_ladder_g1_adverse_cd2,0.0605932293942,0.647311142517,0.343344709044,0.0936075797468,36.717691902,0.0739847629777,0.0165229613559,0.0367177849724,0.0207440166493,73,2,1,6,-0.28577276213,0.0182576690934,-0.078595908348,0,0.309563829015,-0.0151148885503,0.672637819545,0.177244308608
phase68j_phase68h_dynamic_leverage_ladder_g2_dd5_cd3,0.102581669429,0.615603516668,0.455614925563,0.166635937989,35.9571386073,0.0728506859479,0.0161807123733,0.0359571744071,0.0207127991675,73,2,2,6,-0.272736726881,0.0585700620957,-0.0421179077555,0,0.513872035539,0.0250755456592,0.642319716572,0.217880700885
A_selector,0.285426670827,0.508647196984,0.670108598358,0.561148616408,46.3729198909,0.104951523107,0.0208678139509,0.0463729911538,0.0377107180021,122,3,3,6,-0.0658283310083,0.131035310003,0.0661912433818,0,1.32127674404,0.157248347065,0.508729348193,0.337437805327
B_permission,0.078636736255,0.508647196984,0.336973518298,0.154599763296,32.3003637055,0.0644422281063,0.0145351636675,0.0323004047094,0.0176066597294,85,2,3,6,-0.29106727777,-0.0509172844642,-0.0848953895839,0,0.39833397401,0.0112462681895,0.547038095027,0.20028531342
C1_soft_governance_only,0.07649508414,0.508647196984,0.333012127701,0.150389276877,32.6801614188,0.0649929350662,0.0147060726384,0.0326802026983,0.0176066597294,86,2,3,6,-0.298442996679,-0.0528017048039,-0.0867123458014,0,0.387875498483,0.0086818910838,0.553049873334,0.196266940432
C_soft_filters,0.221316532991,0.438516588478,0.795550999555,0.504693639434,28.5002816901,0.0568717505226,0.0128251267605,0.0285003178307,0.0155463059313,75,2,3,6,-0.00511043458312,0.170441550263,0.0673819564628,0,1.052058347,0.153780930887,0.465511252829,0.299781225854
D_pruning,0.0943882652774,0.471045507268,0.472866427479,0.200380353535,27.7407823599,0.0558329110024,0.012483352062,0.0277408180455,0.0156087408949,73,2,2,6,-0.218567624592,0.0585789623147,-0.0132985735182,0,0.474622417766,0.0349127526827,0.519211454023,0.208211315215
E_exposure_125,0.0955393720548,0.529098410284,0.4468069307,0.180570136288,32.9793769986,0.0665662321245,0.0148407196494,0.0329794146603,0.0187460978148,73,2,2,6,-0.2659892418,0.0518088711784,-0.0341828147171,0,0.480154377888,0.0249517751718,0.578778145661,0.209626960214
E_persistence_bridge,0.0978754064181,0.53360139608,0.452207508002,0.183424194796,33.5692915302,0.0689668756032,0.0151061811886,0.0335693312512,0.0202913631634,75,2,2,6,-0.277502295207,0.0540516583656,-0.0321233888388,0,0.491362988457,0.024674449292,0.584261967826,0.182621312344
F_ETF_no_cooldown,0.0942513921558,0.53360139608,0.440107423707,0.176632581639,38.0092117919,0.0789947764778,0.0171041453064,0.0380092576022,0.0238813735692,98,2,3,6,-0.277502295207,0.0505723034036,-0.0353182856572,0,0.473964249312,0.0110989249186,0.584261967826,0.138471332636
G_current,0.0820476231207,0.53360139608,0.405495937903,0.153762009851,36.459865127,0.0753434287176,0.0164069393072,0.0364599025218,0.0224765868887,90,2,3,6,-0.277502295207,0.0388556706103,-0.0460770134218,0,0.414947794041,0.00347898739371,0.584261967826,0.15183308755
