strategy,cagr,mdd,sharpe,calmar,turnover,costs,fee,slippage,funding,trades,median_holding,profitable_folds,fold_count,worst_fold,without_best_day,without_three_trades,liquidations,total_log_growth,double_cost_cagr,double_cost_mdd,delay_cagr
H_replace_selector,0.206576739574,0.620326446035,0.618490002861,0.333012949704,58.922781773,0.122321562263,0.0265152517978,0.0589228557308,0.0368834547347,138,2,3,6,-0.30526647966,0.15203538185,-0.0395955861359,0,0.988164314958,0.0675845219024,0.721187833384,0.419375231459
I_slow_hysteresis,-0.0334803644671,0.571378386636,-0.0688851851073,-0.0585957838977,20.5034822821,0.0437311129568,0.00922656702695,0.0205035053472,0.0140010405827,62,3,3,6,-0.256489774774,-0.0491593907899,-0.109105135364,0,-0.179195463408,-0.0748711331718,0.593577344264,0.0160835388548
phase2_vol_adjusted,-0.00067201187123,0.636547854639,0.171739270188,-0.00105571304079,14.2143267668,0.0634473392808,0.00639644704508,0.014214304476,0.0428365877598,43,30,4,6,-0.349620031596,-0.0261672588934,-0.114044911225,0,-0.003537415465,-0.0621086946516,0.677344180703,0.0276753472408
phase2_regime_allocation,0.0921252783703,0.457604198303,0.430530204061,0.20132087667,10.2265366222,0.0505485496028,0.00460194147998,0.0102266597537,0.0357199483691,26,30,2,6,-0.192992529546,0.0564842713466,-0.117639264018,0,0.463730027862,0.0382577638839,0.546560003341,0.12292931983
phase2_slow_hysteresis,0.0258839889495,0.63294871797,0.248959247038,0.0408942908243,13.4791912857,0.0570522557942,0.00606563607857,0.0134792419499,0.0375073777657,40,30,3,6,-0.375445733814,-0.00759526400777,-0.182032024889,0,0.134472482186,-0.0310275824979,0.670962859292,0.0631773758234
phase2_ensemble,-0.010369254834,0.603264510804,0.147389461062,-0.0171885709308,16.1056174207,0.0617101946267,0.00724752783932,0.0161056600941,0.0383570066933,56,30,2,6,-0.378173194874,-0.033792882051,-0.183237600541,0,-0.0548494340648,-0.0696207823261,0.638792046263,0.0601108523649
BTC_hold,0.0421935353841,0.803912870856,0.363003093923,0.0524852094222,2.3988791401,0.12347849662,0.00107949561305,0.00239900100693,0.12,6,365,3,6,-0.68362862875,0.00749622193054,-0.264320876235,0,0.217472316792,-0.0792476904872,0.838970951824,0.0421935353841
BTC_SMA200,0.0927609793509,0.600405113544,0.420196306006,0.154497317325,10.7039027661,0.0850732857926,0.00481675624476,0.0107039801201,0.0695525494277,28,4.5,2,6,-0.244592174576,0.0563801451363,-0.0901423632891,0,0.466792112671,0.00341858366432,0.638061491246,0.0765316178904
S_core_unpruned,0.200497433083,0.508647196984,0.547885099273,0.3941778,49.4172550807,0.115297138836,0.0222377647863,0.049417334508,0.0436420395421,130,3,3,6,-0.215296930863,0.0563068413009,-0.00425292246945,0,0.961584090515,0.0696162127686,0.569057337944,0.28816380065
S_reference_before_NEO_pruning,0.173701905119,0.508647196984,0.508895380453,0.341497812529,49.4172633325,0.11529715081,0.0222377684996,0.0494173427682,0.0436420395421,130,3,3,6,-0.144671493507,0.0327296984224,-0.0264783499682,0,0.842800421957,0.0457333277189,0.617339666073,0.238918752576
S_NEO_only_not_pruned,0.0943882652774,0.471045507268,0.472866427479,0.200380353535,27.7407823599,0.0558329110024,0.012483352062,0.0277408180455,0.0156087408949,73,2,2,6,-0.218567624592,0.0585789623147,-0.0132985735182,0,0.474622417766,0.0349127526827,0.519211454023,0.208211315215
S_SSOT_shortlist_current,0.0980489715475,0.52816752174,0.449335840363,0.185639910656,37.2166161366,0.0764094979256,0.0167474772615,0.0372166512572,0.0224453694069,92,2,3,6,-0.219479289376,0.0542182953186,-0.0319703754566,0,0.492194825491,0.0172381158224,0.563700427919,0.185563156207
S_economic_route_current,0.0331318974182,0.582330606663,0.267187727022,0.056895339244,40.4506718058,0.0828471055127,0.0182028023126,0.040450754813,0.0241935483871,104,2,3,6,-0.329571389784,-0.0909565808849,-0.118527654759,0,0.171519047612,-0.0490901323555,0.630094762896,0.130738099914
S_ETF_extra_day,0.0763547011925,0.53360139608,0.389153124251,0.143093143596,35.8795583049,0.0740649355087,0.0161458012372,0.0358795921278,0.0220395421436,87,2,3,6,-0.277502295207,0.0333899922972,-0.0510958397397,0,0.387189230428,-0.000524179899856,0.584261967826,0.162570677837
S_current_without_ETF,0.0978754064181,0.53360139608,0.452207508002,0.183424194796,33.5692915302,0.0689668756032,0.0151061811886,0.0335693312512,0.0202913631634,75,2,2,6,-0.277502295207,0.0540516583656,-0.0321233888388,0,0.491362988457,0.024674449292,0.584261967826,0.182621312344
