asset,selected_days,selected_days_pct
DOGE,510,17.745302713987474
ADA,312,10.855949895615867
ETH,132,4.592901878914405
SOL,90,3.1315240083507305
TRX,60,2.0876826722338206
LTC,6,0.20876826722338201
