decision_date,next_date_exclusive,asset,train_total_delta_pct,recent_total_delta_pct,train_dd_worsen_pct,train_triggers,score,passed_filters,selected_asset
2019-06-15,2019-06-22,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-06-15,2019-06-22,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-06-15,2019-06-22,DOT,0.0,0.0,0.0,0,0.0,False,
2019-06-15,2019-06-22,ETH,0.0,0.0,0.0,0,0.0,False,
2019-06-15,2019-06-22,LINK,0.0,0.0,0.0,0,0.0,False,
2019-06-15,2019-06-22,LTC,0.0,0.0,0.0,0,0.0,False,
2019-06-15,2019-06-22,SOL,0.0,0.0,0.0,0,0.0,False,
2019-06-15,2019-06-22,TRX,0.0,0.0,0.0,0,0.0,False,
2019-06-15,2019-06-22,XRP,0.0,0.0,0.0,0,0.0,False,
2019-06-15,2019-06-22,BNB,-13.559001981181524,-13.559001981181524,0.0,3,-74.12451089649838,False,
2019-06-22,2019-06-29,ADA,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,DOT,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,ETH,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,LINK,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,LTC,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,SOL,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,TRX,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,XRP,0.0,0.0,0.0,0,0.0,False,
2019-06-22,2019-06-29,BNB,-15.516001069012702,-15.516001069012702,0.0,3,-84.88800587956986,False,
2019-06-29,2019-07-06,ADA,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,DOT,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,ETH,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,LINK,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,LTC,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,SOL,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,TRX,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,XRP,0.0,0.0,0.0,0,0.0,False,
2019-06-29,2019-07-06,BNB,-16.094930873034514,-14.36396239560385,0.0,3,-81.14824589196716,False,
2019-07-06,2019-07-13,ADA,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,DOT,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,ETH,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,LINK,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,LTC,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,SOL,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,TRX,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,XRP,0.0,0.0,0.0,0,0.0,False,
2019-07-06,2019-07-13,BNB,-16.094930873034514,-13.327778758404605,0.0,3,-77.00351134317019,False,
2019-07-13,2019-07-20,ADA,0.0,0.0,0.0,0,0.0,False,
2019-07-13,2019-07-20,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-07-13,2019-07-20,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-07-13,2019-07-20,DOT,0.0,0.0,0.0,0,0.0,False,
2019-07-13,2019-07-20,ETH,0.0,0.0,0.0,0,0.0,False,
2019-07-13,2019-07-20,LINK,0.0,0.0,0.0,0,0.0,False,
2019-07-13,2019-07-20,LTC,0.0,0.0,0.0,0,0.0,False,
