date,open,high,low,close,volume
2025-05-06,0.1432,1.0,0.1432,0.2195,165941271.1
2025-05-07,0.2196,0.274,0.1957,0.2245,168445021.2
2025-05-08,0.2245,0.2445,0.2067,0.2264,89918303.2
2025-05-09,0.2264,0.2497,0.2145,0.2444,81294607.6
2025-05-10,0.2446,0.3,0.2342,0.2859,134520115.1
2025-05-11,0.2861,0.3241,0.2621,0.2735,94475336.6
2025-05-12,0.2733,0.2878,0.2314,0.2467,69776447.9
2025-05-13,0.247,0.2734,0.2336,0.2722,60421477.5
2025-05-14,0.2723,0.3233,0.2644,0.3136,128814124.3
2025-05-15,0.3134,0.3307,0.2617,0.3266,144200103.5
2025-05-16,0.3267,0.3589,0.3177,0.339,135183601.5
2025-05-17,0.339,0.3829,0.3233,0.3488,101373756.9
2025-05-18,0.3489,0.385,0.3428,0.3664,78352599.8
2025-05-19,0.3664,0.3664,0.311,0.3343,76781127.4
2025-05-20,0.3342,0.383,0.3317,0.3596,100039146.5
2025-05-21,0.3596,0.3628,0.3362,0.3411,53941612.6
2025-05-22,0.3412,0.4166,0.3385,0.385,87903332.1
2025-05-23,0.3851,0.4098,0.3649,0.3869,74826013.7
2025-05-24,0.3868,0.4324,0.3865,0.4274,71656321.6
2025-05-25,0.4274,0.46,0.4167,0.4377,85986005.3
2025-05-26,0.4377,0.4707,0.4093,0.418,61886099.5
2025-05-27,0.4181,0.4475,0.4075,0.4211,50041661.5
2025-05-28,0.4212,0.4595,0.4144,0.4172,50740541.4
2025-05-29,0.417,0.44,0.3816,0.3863,45690537.6
2025-05-30,0.3863,0.39,0.3435,0.3547,50449770.6
2025-05-31,0.3546,0.3587,0.3171,0.3443,54572528.6
2025-06-01,0.3444,0.3599,0.3312,0.3566,39325545.4
2025-06-02,0.3566,0.4183,0.3413,0.4143,80383717.0
2025-06-03,0.4141,0.4599,0.4127,0.4158,61886635.4
2025-06-04,0.4159,0.4311,0.4003,0.4085,34586154.4
